FADD FE_TOWARDZERO 22
3790954 2578776 3790954 
2476214 205902 2474899 
109540 1989000 1989000 
2501714 426108 371020 
2550276 325732 2546301 
2314360 652018 652011 
2183974 1761112 1761111 
2177562 3746282 3746282 
620902 2312646 620889 
2677576 4155114 4155114 
2009388 2839832 2009387 
3650864 2332478 3650864 
704456 1741780 1741780 
2997500 1202778 1202683 
3148232 1265350 1264798 
3370300 138334 3370299 
2477534 3863106 3863106 
4116948 832268 4116947 
2710378 1139210 1139209 
3729990 1930114 1929996 
974858 3586020 3586019 
2131544 432730 432721 
1801690 1398488 1801703 
2583466 3528600 3528600 
3133362 1118010 1108615 
1475404 2201380 1475403 
920658 3973424 3973423 
1480220 98948 1480220 
2200392 1078796 1078795 
666338 3332468 3332467 
3210620 712714 3210605 
2829034 507792 2828650 
173920 2761842 2761840 
656602 156476 656602 
3114426 872326 3112571 
1180914 2652518 1180913 
4130342 2805092 4130342 
2064383 1604872 2064383 
2262734 1753422 1753421 
1653890 3077876 1653889 
3543674 1069572 3543660 
2051758 3667204 2051756 
1843632 2411900 1843631 
2280660 849184 849183 
1149484 3927918 3927917 
4043096 4153522 4159197 
2788062 3198240 3198248 
2930604 1773450 1773449 
1614690 2335952 1614689 
3413424 2726124 3413424 
3213964 3566626 3566660 
3916574 531564 3916573 
2594490 1649752 1649751 
668506 3204234 3204228 
130636 247852 251920 
3765506 364118 3765505 
3860146 2998932 3860146 
246506 4073184 4073183 
1811610 2304528 1811609 
2307626 2633724 2633769 
846602 3484040 3484039 
1584774 838836 1584774 
3402054 2049288 2049287 
1016034 3575988 3575985 
1199412 1589022 1589034 
3386312 508574 3386311 
1222550 517780 1222550 
3518630 3296654 3519041 
1123338 3023954 1122680 
3076616 91228 3076615 
2053636 983440 2053636 
3038648 2593416 3038652 
3861126 2229506 3861126 
4161535 2198802 4161535 
2659930 4121530 4121530 
1927240 2166428 1927239 
3809960 2668500 3809960 
427998 1294932 1294932 
1569360 483654 1569360 
3938762 4147952 4148567 
2003858 577470 2003858 
3365026 260782 3365025 
3366686 2221124 3366686 
3936496 3498446 3936499 
244036 1317440 1317440 
2521304 1548340 1548339 
4074406 3005424 4074406 
1159760 1130926 1182099 
2442338 1682310 1682309 
2479426 2320926 2481298 
3223910 3396072 3397491 
735722 1748122 1748122 
1331552 2903602 1331551 
1687326 1422736 1687507 
480152 991816 991816 
855020 3292352 3292317 
2308742 3754940 3754940 
4024432 1457632 4024429 
3656040 2949018 3656040 
412002 2310332 411231 
1689288 1483620 1689941 
2193838 2372722 2373720 
2946300 41760 2946299 
3768652 922878 3768651 
2491730 2677330 2678396 
1165226 189828 1165226 
1920104 2986240 1920103 
4147020 3965830 4148072 
1755138 460698 1755138 
934556 3368234 3368185 
3145624 3646108 3646108 
2980224 2811496 2981977 
3284902 2308332 3284902 
1969638 3816906 1969448 
3840782 3369996 3840783 
3897700 2947428 3897700 
3155422 321298 3155421 
2707840 2977404 2977613 
3878844 1080758 3878843 
508670 4102218 4102217 
2938628 487746 2938597 
1380202 514832 1380202 
1620796 1837808 1838182 
104482 1174998 1174998 
2493190 2063370 2063369 
3355304 2540154 3355304 
2195472 2291136 2296546 
1359154 433326 1359154 
3941412 1618582 3941054 
2276448 3069682 3069682 
4104130 1873476 4101725 
1837694 1416182 1837698 
1225778 597104 1225778 
1476396 830362 1476396 
2056024 450694 2056024 
2600732 1627626 1627625 
3082682 2590398 3082683 
1508516 2653424 1508515 
2512314 1203132 1203131 
770304 1226908 1226911 
506990 4161535 4161534 
3032224 3632980 3632980 
1705526 2683574 1705525 
2887648 1988042 1988041 
391216 2398262 381474 
2584288 620382 616560 
2245842 254544 248245 
3992500 1919916 1878948 
1993126 2061304 2064383 
1001614 4161535 4161534
2704734 1479450 1479449 
1763628 177192 1763628 
648852 1543622 1543622 
601798 230898 601814 
3158874 1572146 1572144 
347940 2270662 346613 
4016338 801342 4016337 
3350768 2976958 3350782 
2495320 592334 591744 
1726678 3718540 1720612 
3012140 552892 3012110 
157622 3393928 3393927 
2589892 2850280 2850545 
1021418 1434482 1434491 
2151356 778802 778801 
4039544 761864 4039543 
3937976 2541186 3937976 
1270570 3470124 3462854 
2063766 1770874 2063899 
2462270 785292 785282 
1384266 3281102 1383686 
159078 2897228 2897227 
1246752 3096692 1246559 
2768032 1958324 1958323 
4066258 2591834 4066258 
4118332 3354302 4118332 
1064502 644972 1064508 
3628466 3575840 3642081 
3717254 89546 3717253 
2229194 975082 975081 
1424346 2407660 1424345 
1424188 1108326 1424246 
1031784 1460926 1460931 
3113446 1287806 1287676 
1264142 1552098 1552199 
1889558 2772240 1889557 
685210 732240 747894 
3086068 2827982 3086234 
1017642 4161535 4161534
1006426 2796400 1006340 
1104296 3807220 3807219 
3215754 2569892 3215754 
2284576 541804 541776 
1930430 3023074 1930429 
2857664 214816 2857663 
2787592 1156214 1156211 
3280408 1328494 1326220 
3147330 616596 3147326 
1794816 318404 1794816 
1670122 3221782 1670121 
794752 1514640 1514640 
3918580 218150 3918579 
1163976 1825460 1825460 
1567204 227932 1567204 
1424414 1466572 1482605 
1147400 616586 1147400 
4048188 2405930 4048188 
3449852 1826776 1826773 
389196 63384 389257 
2678564 3128010 3128013 
75504 1833308 1833308 
878392 3772926 3772925 
2038678 1578652 2038680 
1188210 1567786 1567806 
3155206 3934934 3934934 
3298896 2016942 2016941 
2509164 1245164 1245163 
1851942 3535200 1851934 
3929760 609582 3929759 
2657602 680684 676163 
