FMUL FE_TOWARDZERO 22
628974 1475912 1089341
2387256 88742 2097152 
1431924 2031852 2064383 
786888 1495270 1266638 
4035220 1421392 4161535 
2032402 2044502 2064383 
595904 767038 349615 
3550348 1111674 3647008 
342654 2460602 2097152 
3298406 3847466 1939022 
770408 3337820 3093524 
1646522 2134354 2766167 
2363102 1562366 2912246 
2648852 3567716 1006782 
1313070 134354 431851 
2582060 713708 2280685 
2717338 262984 2097152 
2389466 2293342 0 
4039602 1109424 4134908 
3504444 2975242 1269749 
725294 3227884 2939600 
3895002 1871418 4161535 
2939488 1511386 3437931 
1915532 2760312 3663603 
1704560 2180104 2869187 
2385014 2888358 66271 
486404 2007152 1479657 
3305622 1503568 3793608 
2213898 3730650 735507 
1492348 3386100 3867616 
2714260 3263230 768513 
1731944 2064383 2064383 
2614112 2986376 393538 
3989782 1269424 4161535 
3312794 197178 2494220 
2815184 954206 2754842 
3491666 3116996 1400798 
3619016 1004240 3610666 
3496422 1679622 4161535 
782518 1661256 1428557 
3841676 301182 3128546 
1362804 2624300 2972981 
1887934 374300 1250065 
3764396 916456 3665106 
803592 2454234 2242819 
2550788 3421510 763679 
3674724 1072608 3734976 
2964952 2663334 422583 
2988564 744578 2720951 
663456 717302 366303 
3180208 3706810 1677116 
580350 3069242 2635366 
1418684 499182 904316 
885532 677606 547870 
1311214 3441802 3737225 
1269688 312744 568507 
3766810 566764 3318297 
2433352 3614406 840226 
3033886 3380688 1207738 
4104484 2420568 1316520 
806650 3049870 2842221 
2941830 2627620 362295 
2697444 2705614 197754 
1428708 349136 764294 
3550062 2019656 4161535 
4089842 3611416 2064383 
3963444 4108120 2064383 
2485700 2978004 253868 
1848042 219888 1054978 
3222592 3359286 1376940 
4076292 1836462 4161535 
3669782 87166 2741179 
2775794 609102 2371040 
2678026 2205274 0 
317096 2546702 2097152 
2838234 2859196 492000 
3090860 2887868 770010 
1615034 917286 1516589 
2910340 3000554 702075 
333152 2533640 2097152 
1550828 1040100 1577969 
2297226 3845558 933909 
2285070 1035042 2306098 
631612 4027598 3644440 
1766230 3428718 4161535 
3982226 3018816 1793126 
2534066 2064383 3609004 
2392858 3228236 411393 
3780076 3542982 2064383 
467746 1909356 1363712 
114182 2993952 2097152 
492982 1791788 1269957 
460536 1894284 1340455 
2946688 2779932 516706 
284362 316860 0 
83398 3869250 2938271 
3785106 2429998 1007638 
1829192 290174 1103978 
3928464 3703682 2064383 
4161535 1887500 4161535 
1322748 841644 1151851 
2620976 3241988 652866 
2994332 718736 2697929 
3884244 787704 3656823 
3497544 2213386 502772 
3906012 530710 3422211 
4060502 2432692 1284119 
870562 2981844 2836607 
3743954 488640 3217856 
894360 1481710 1362361 
1452706 262312 699265 
3441784 1688190 4114760 
1891234 1761190 2064383 
2181000 3258704 233583 
3796174 515682 3296693 
2920948 3063762 776889 
3929072 522154 3435518 
765270 1887868 1641423 
107270 3221564 2315844 
636778 3035632 2659945 
1347786 3096640 3430775 
3026022 2028736 4039890 
2567852 4143074 1506030 
2612404 2780676 183602 
3764836 3856352 2064383 
1372026 3566294 3922861 
4126478 4115568 2064383 
88874 708904 0 
2252332 1081542 2318211 
2893600 4123358 1808724 
1069422 497612 555101 
735808 3729164 3450904 
3124660 1997446 4106748 
3940066 1580556 4161535 
428544 3266686 2681191 
986546 3036370 3009431 
2761106 1446630 3193196 
995708 1859322 1841814 
2147316 1104086 2237945 
597824 3445692 3028941 
2204614 1619812 2812581 
3992976 3996352 2064383 
2767960 1644266 3399183 
357860 3975212 3318151 
2399974 1030912 2418724 
790522 371554 147654 
3777016 3287338 1857038 
2417992 824400 2229461 
92120 3690098 2767607 
2494156 3292456 578309 
3509390 968542 3463915 
1384224 598960 969597 
810070 2002536 1799458 
2190914 1736616 2911728 
544556 3991076 3521086 
4138408 2801970 1735176 
3714968 3442326 1947808 
2537026 2537636 0 
3369154 267686 2623503 
1040752 311652 338509 
2194238 3825512 809793 
888852 3871378 3745019 
3336550 771130 3093222 
3080198 1508162 3572552 
552822 2047744 1585833 
2400638 2182348 0 
2475852 2662082 0 
373612 3544012 2903851 
909794 2271572 2168168 
362346 2596338 2097152 
3717692 3950948 2064383 
3499758 741950 3227047 
2016536 3366976 4161535 
1093462 256780 336124 
1502622 4053332 4161535 
4131902 3811272 2064383 
1316638 2292840 2594046 
858004 2456714 2299271 
3262020 968718 3218159 
98672 4058714 3141895 
231108 2045434 1261464 
534252 4136326 3657068 
1800210 2309766 3094687 
589618 2886816 2460718 
3002120 2650310 443063 
1169768 2210650 2367259 
4062072 3136126 1988255 
1793180 3646374 4161535 
819538 3142882 2946920 
2170606 2393368 0 
1990972 1118390 2064383 
1379164 1031232 1395956 
3283098 3826796 1902633 
465216 2376338 2097152 
1293384 993026 1275304 
503756 607934 100474 
1848352 472756 1310861 
2044074 964952 1998799 
2825918 4119972 1739119 
3334624 1273900 3593192 
2707248 2559496 58854 
1512632 3714800 4161535 
2443470 1397242 2827444 
897228 1960996 1843988 
2398834 3729702 920744 
3375670 2805768 971679 
3792912 1950414 4161535 
1143776 4037556 4161535 
4157028 3922312 2064383 
1301418 429188 717092 
2599400 2203698 0 
3962302 2776990 1529512 
1347082 317954 651755 
3731944 797252 3514596 
2964846 2743834 500824 
2877118 3143594 810810 
4155002 884696 4023893 
2005618 2957806 3949410 
326296 1422404 733301 
239880 2690418 2097152 
74760 2620096 2097152 
3498788 2695140 986589 
3526982 2225960 543243 
1378650 599972 963555 
2946054 2400430 137513 
738608 1298388 1024021 
2616046 1152032 2754542 
2746682 2305544 0 
4091138 1336942 4161535 
1172596 397134 556996 
3279960 3199806 1271709 
1954406 282164 1223032 
3002434 1087954 3078724 
2371594 362558 2097152 
3178150 2547262 515345 
1951072 2939516 3876979 
340708 122724 0 
1977874 2895870 3862358 
3514814 2988300 1294692 
709878 81104 0 
2448038 4161535 1399461 
2263700 3222820 277363 
1178458 2502918 2665935 
1173706 1386306 1546263 
575984 2484464 2097152 
1491906 1770162 2064383 
1343076 2579664 2906988 
3742290 390798 3118240 
2216552 3639184 646870 
1666846 1136000 1787755 
3695208 1881536 4161535 
3702748 1045870 3732811 
703546 2868704 2560381 
3084296 3215702 1090441 
1753142 3028496 3770546 
3685294 302316 2975254 
894976 1221838 1103950 
3676306 2495632 962836 
1737834 1407456 2064383 
1785714 1300452 2064383 
955714 1258330 1200419 
3750826 310028 3049757 
385216 4161535 3530943 
114878 3549320 2653638 
875482 1253502 1116628 
3186678 173084 2346262 
4104252 4093962 2064383 
2689860 3524898 1006293 
902596 2716434 2603974 
2063912 1191946 2064383 
3609960 848682 3444202 
3181090 3510722 1482059 
806374 2640806 2433994 
3577216 3896402 2064383 
1344032 109536 437946 
2800718 4104514 1699131 
1783162 3050242 3818773 
3716648 720690 3421589 
990950 3705392 3681163 
1011094 4129816 4125999 
453338 3598646 3036657 
2900282 3711758 1406500 
2035876 3488420 4161535 
674552 3594464 3255282 
2953810 996980 2936977 
4030892 965244 3980523 
3360468 3200786 1353482 
2373282 2064383 3421857 
4134136 117506 3238979 
3707104 1784920 4161535 
2987458 1015444 2987245 
601186 3616100 3205507 
548454 1247038 781051 
211756 2309762 2097152 
4022900 2978564 1791735 
1493154 395108 873527 
1064058 2234744 2286074 
1209416 3789544 3983680 
4112692 3676066 2064383 
1148898 4026234 4161081 
167820 2044518 1198097 
1973036 1623518 2064383 
2640438 3835296 1266456 
4108552 84222 3181309 
796528 3263028 3048512 
2824882 3629744 1247483 
1353458 1024462 1364745 
780534 201548 0 
2213982 1097708 2299446 
4008330 4100230 2064383 
3823802 2609734 1225219 
459430 1262764 706749 
106646 141928 0 
261372 389164 0 
3811194 667638 3466810 
120908 3188478 2297111 
746670 1147746 879289 
487642 1936906 1410466 
805528 2638080 2431164 
2822946 3623174 1238802 
1593058 2157244 2735538 
1734448 3900584 4161535 
2291600 53152 2097152 
498756 2356484 2097152 
2231278 3128900 151551 
1939378 385964 1312488 
4109396 1092000 4161535 
2172578 2009620 3169641 
2064383 2618694 3674602 
2717882 1253680 2956443 
3629956 552490 3167146 
3309230 703620 2997131 
1533532 1847822 2064383 
1925874 1536678 2064383 
3324030 3371324 1486297 
2958062 3127598 879542 
2969842 1830114 3785047 
2438426 502782 2097152 
732242 3148396 2865753 
2602870 2649998 43948 
1377686 1060706 1423113 
947834 2555914 2487949 
1809424 1319232 2064383 
3734578 842418 3561329 
2333606 3878360 1004389 
1225452 1410092 1620160 
2713124 146434 2097152 
2767256 239954 2097152 
3744964 347190 3081070 
2190132 759944 2097152 
1061440 429978 477177 
1541334 2818916 3344474 
1417418 3083942 3486512 
2934722 2508804 236562 
1186550 3839862 4011869 
2554080 479294 2097152 
1679714 2749258 3414366 
3510786 3350928 1652810 
1616490 2622098 3222998 
3740390 2259574 790456 
3896494 2287516 974174 
2990394 3193526 977709 
2693182 2845092 330481 
68184 1730268 784771 
3948576 1394794 4161535 
1732700 1805878 2064383 
3866402 3586246 2064383 
3463522 1608600 4058386 
3346870 370620 2703089 
3647932 1610366 4161535 
438020 3268960 2693652 
410526 3539032 2933796 
1523516 3075298 3584244 
767380 2642856 2397728 
3865102 2782106 1437169 
54838 2182538 2097152 
3254152 942122 3183282 
2638204 4087830 1517917 
3186868 1517256 3690852 
3998408 1321170 4161535 
2298642 3476722 565745 
3539556 312800 2836882 
457310 2489776 2097152 
1748632 1516076 2064383 
227820 3598930 2811073 
1373374 306156 664668 
564526 2366514 2097152 
137244 3287558 2411020 
1567254 3010012 3561855 
492860 1758256 1236189 
2597678 2371358 0 
712712 1652594 1351817 
2265772 2736770 0 
4071568 2149222 1015588 
558596 2659648 2202691 
409134 3136632 2532296 
762402 1834048 1580994 
1948224 373644 1311392 
1227100 2330462 2543516 
1409124 1931562 2064383 
3815722 3213756 1820478 
129590 3475092 2589576 
2375648 1788662 3151903 
4053290 787210 3825233 
2015144 221132 1222540 
3804058 715028 3505716 
4136998 501264 3624901 
2343278 2622112 0 
4054728 2741418 1587473 
2214884 928992 2132399 
3868206 837994 3691299 
1560916 3417842 3967106 
2447954 2149006 0 
1890906 3411444 4161535 
751696 1303588 1039690 
3742110 325640 3052757 
3798166 3422718 2011571 
3163014 700580 2852585 
777330 187040 0 
735256 4081076 3804715 
3105526 2426966 324029 
1910144 989688 1885971 
3641564 1871104 4161535 
859108 1065690 912719 
3051972 3252984 1096086 
2274670 753464 2097152 
707202 3179514 2871500 
231806 3570992 2787323 
3438728 3082074 1311591 
2825616 903060 2717100 
887700 188714 62855 
4090622 4042304 2064383 
1832896 1389452 2064383 
680796 2555966 2221002 
3327752 2482736 602074 
2843010 1757694 3586298 
2184222 2034220 3204345 
3441312 2483088 714810 
240670 669378 0 
298938 1333582 619520 
390416 2576618 2097152 
3313788 3131272 1237306 
1996100 1831468 2064383 
455002 1611786 1052502 
2567504 251222 2097152 
2652520 3659828 1102498 
2571716 297384 2097152 
3930948 3341036 2061896 
3577752 2282296 653862 
3465498 1551264 4003561 
216960 2253848 2097152 
3985580 1013488 3983688 
2877674 3013864 681497 
3075654 2535960 402883 
3588836 2575596 957441 
3416252 1009820 3412492 
3782686 1535330 4161535 
1690658 1460608 2064383 
1090294 579144 657511 
495836 2217098 2097152 
2493746 4161535 1445169 
952472 305550 242928 
1703964 52806 740979 
4025626 970876 3981591 
936348 1002688 926015 
3100658 1763262 3849277 
1189656 3450712 3627636 
3261568 514022 2762168 
348554 1413894 749742 
822832 664240 472248 
3331394 3489974 1613961 
67378 1167456 220182 
2650714 731318 2367415 
3159040 2720982 670412 
1523336 3391230 3903013 
2713360 2064383 3761935 
761174 851926 597308 
533652 3118236 2637587 
2227038 3307206 324174 
2485708 3151086 428631 
4039900 2768592 1603010 
1244070 125664 354017 
3080856 1130268 3195643 
1188556 984736 1157945 
3170152 1660278 3816008 
168540 2732874 2097152 
103978 3174916 2264566 
3179726 2202886 172778 
2198900 1643242 2826842 
2641542 2714054 146583 
848464 3362062 3195415 
1462752 889608 1339668 
198344 3731696 2915763 
2855430 1600040 3442064 
1605912 1663084 2064383 
862682 1082398 929616 
1069886 2977000 3031932 
3228966 1614916 3833089 
732904 1607728 1325592 
2234342 2741426 0 
1235162 3471294 3690971 
3779418 501240 3268142 
3442192 2289188 522603 
3238478 1818378 4042457 
722076 2416840 2126960 
4049720 3300634 2064383 
1915360 1189184 2064383 
