FADD FE_TOWARDZERO 29
453157268 452970240 455164554 
363457404 183923304 183923303 
17177710 90997026 90997026 
333016904 299714842 333016965 
341228370 387741494 387741494 
126925930 533681276 533681275 
508837834 220428088 508833294 
307089962 429568866 429568866 
490079938 13961154 490079937 
359051748 5711856 359051747 
35354988 310499726 310133742 
46177152 69059144 69061230 
210871434 531796602 531796601 
259099364 331935628 259099363 
524000772 245597660 523855270 
140918188 336367836 140918187 
194210414 457337702 193646484 
450044218 15984404 450044217 
53151950 18687310 53151980 
104153666 419173008 419173007 
452970978 263838420 263838419 
530181558 159005218 530181557 
45137784 98243354 98243354 
175824426 194526332 194533867 
169060800 104049466 169060800 
521389700 24970758 521389699 
167759354 195721602 195721857 
302443750 504163638 504163638 
298317742 33308774 31999119 
196312460 235794592 235794598 
106954556 460404798 460404797 
450601750 115515546 450601749 
330954500 450524078 450524078 
220065332 134122194 220065332 
399715516 234118060 234118059 
326808700 362655710 362655739 
88859598 296015460 88859597 
16415256 52857430 52857444 
139119788 243053604 243053604 
387622412 427725768 427725775 
97043182 161647564 161647564 
32615428 302456482 299442816 
57008384 296635784 57008198 
309055996 214368982 214368981 
147894318 37094934 147894318 
370739438 84675712 370728161 
259268416 107667864 259268416 
305944228 103359354 103359353 
226113422 278206998 226113421 
334031746 361529090 361529417 
338379206 299209924 338379212 
520986140 503800034 520996220 
149241080 64798468 149241080 
460485034 451055558 460626598 
95567090 523186250 523186249 
281571132 18940870 18344893 
452424012 397306966 452424012 
29658490 382038318 382038317 
402951482 199164070 199164069 
193276914 92055224 193276914 
187481546 301388160 187481545 
181252878 382742656 181252877 
69028684 113973096 113973096 
63060396 75596504 75631550 
61731818 440611736 440611735 
57389766 327280914 324026044 
496587610 369243074 496587610 
160365050 215255752 215255752 
403135830 276359804 403135830 
531094126 27326938 531094125 
364668420 218440602 218440601 
327091724 374984490 374984490 
439300970 61235640 439300969 
466274872 87937018 466274871 
396744064 156507540 156507237 
446731844 225975292 225975291 
230748820 401954816 230748819 
55419980 202435860 202435860 
393132144 532774194 532774194 
220300564 468333698 220297862 
14144210 220237148 220237148 
180688530 159327106 180690550 
143584632 502210196 502210195 
299659538 68336564 68336548 
461651592 392127366 461651592 
284285202 375646696 375646696 
77635384 483753442 483753441 
85214326 4437714 85214326 
84575654 69753180 84596312 
501561266 342639040 501561266 
448101044 45947048 448101043 
427771530 77416776 427771529 
293021672 467289694 467289694 
414306144 167017220 167014032 
337796454 272009060 337796454 
305377866 142182708 142182707 
148119614 42160518 148119614 
505320290 462266068 505320292 
18905226 406866748 406866747 
4275870 313725982 313725977 
61554804 327284894 60065866 
118441950 165983006 165983006 
32478428 71237582 71237593 
70130596 28023320 70130598 
42024476 499042396 499042395 
310637418 387330490 387330490 
417520784 25784610 417520783 
524426738 361334886 524426738 
494218308 307259028 494218308 
238034586 50006910 238034586 
441183184 216098246 216098244 
211003844 237719502 237719915 
31595056 58860698 58860970 
510454848 155440026 510454847 
81773580 253532994 253532994 
307548982 203273830 203273829 
375444592 514619638 514619638 
482504960 431646928 482504960 
184511802 170423138 184551299 
