FMUL FE_TOWARDZERO 28
84968962 155420626 173820151 
90668818 133285648 133693439 
250809204 256927476 133693439 
187549860 94611700 215616381 
23010822 32328796 0 
123798214 247815052 267911167 
52729122 81107514 67285620 
196943838 58401408 188817973 
177811242 123779564 235013275 
218074150 22130300 173631585 
95745908 68678840 97840719 
118679016 88533372 133693439 
66156254 55045324 54619010 
137709142 86990176 158121833 
109323302 246582370 267911167 
201957382 145729724 12675974 
227644614 227468836 120122365 
267461922 74854648 267911167 
160887532 219930140 45815430 
187437080 83847962 204709845 
57041496 9677868 0 
64828680 208673576 206922205 
47813730 18169544 0 
32684096 74253976 40417822 
105796378 226450660 265666834 
108234738 188227786 229881652 
135807102 24044316 134217728 
154574574 16449834 134217728 
23713002 131819108 88998551 
55736762 98751842 87961489 
126331270 64406276 124154683 
107684170 185027134 226140890 
259309896 248875076 133693439 
135957344 249601966 50552279 
39576986 198863974 171933747 
239735830 258171208 133693439 
112925694 130949734 133693439 
232380458 198351922 95751785 
79382030 231515180 244377655 
122524464 88737860 133693439 
265432840 84455464 267911167 
101691616 263307010 267911167 
260647392 142059628 67696567 
220520298 228484518 114005316 
13276248 148291314 134217728 
150121646 63743702 147353808 
110835078 246337358 267911167 
156180938 92064788 181672537 
51720784 62156542 47333703 
226424010 203774352 95189660 
78779014 212817874 225028262 
40793216 24561124 0 
14809602 173042016 134217728 
44719266 103005068 81211977 
68358778 201497970 203337984 
68653330 250725080 252804907 
188867800 100058470 222372429 
205305442 44175388 182975891 
130478780 6540898 70453170 
8881764 141238692 134217728 
144611032 239655406 49287714 
29771744 129098490 92328708 
182324974 25694120 141437553 
23007254 42296366 0 
50091018 123724372 107232557 
120170654 164650238 218241251 
100302130 137130658 170928395 
148918506 28470374 134217728 
64278238 94840746 92545456 
136856246 11393744 134217728 
146313484 129968726 209723046 
88823418 191388164 213636620 
128669612 7630920 69783897 
118160350 85213352 133693439 
66608562 116023488 116054603 
1955958 211748892 147128819 
175106390 84449444 192973942 
186240420 85517666 205186746 
36711242 36707670 6834494 
174437206 246731808 86178852 
39253056 204221134 176906033 
164653292 17585500 134217728 
152750160 98356012 184590119 
13489890 91792352 38728287 
201140192 241052142 107193693 
233737056 155407168 54152063 
258533382 213126660 133693439 
189161494 212846112 66989078 
218743512 58634668 210826977 
88140942 140394038 161997662 
41606464 68952120 44055504 
244904700 30560510 208898644 
82632188 204578204 220690234 
105977688 111297680 133693439 
266199336 250226004 133693439 
126937756 156752554 217109965 
186521014 187107262 38615851 
124641642 191107772 249198928 
161612776 204950430 31560446 
105612806 151962100 191013109 
209759060 266850656 133693439 
117418718 99321956 133693439 
180042584 86151198 199677060 
140096724 20489828 134217728 
70135446 65907846 69476037 
186674150 126320340 246425576 
4213576 132503488 70146563 
65395330 32623176 31488526 
186165788 145929230 0 
3549130 80472420 17467862 
249356526 21949460 204735190 
246518154 203277834 114834607 
155479512 19425822 134217728 
247604026 42819528 223902031 
217894270 241773538 124693863 
231822010 190240084 87073968 
165474270 130623250 229559560 
61891360 182417620 177740868 
66865824 175523718 175831102 
242569328 50647986 226667644 
14601272 8889330 0 
207281804 79665992 220371488 
39904564 264395286 237732523 
137620276 229720816 32361556 
206962412 95394848 235775886 
256340470 194823884 116151647 
191201172 52622152 177290490 
128025610 58978700 120468701 
186726428 68313674 188479335 
226995046 39578248 199994246 
64695200 52208470 50385600 
235673184 163290308 64013776 
122470712 129173590 133693439 
229404556 192377452 86770049 
197359992 103446944 234292808 
13913528 165132418 134217728 
55509644 57081900 46011020 
117913516 3315502 54661780 
198725594 217203520 80914863 
70018606 149441452 152886134 
228401486 197918910 91347350 
199911914 205355248 70304964 
127802358 35553022 96782451 
16924060 29752736 0 
215812088 90616930 239860194 
223971954 63654668 221083612 
209115400 257149040 131264310 
6271766 41646360 0 
247497960 139128234 51618616 
218627052 4826272 156869162 
116096382 215937578 265468854 
145870650 103884742 183187942 
129075128 236757988 267911167 
98843622 63094400 95434520 
188179086 60689820 182289234 
176560748 164180696 5774253 
113436746 29018234 75936690 
213112428 75015142 221563121 
215805214 149437318 30231883 
72569308 58789998 64803670 
8633918 223126886 165234707 
188009992 125917154 247395443 
96765234 63862246 94064845 
41934338 49061912 24413509 
4893450 29470418 0 
194479112 97525664 225427805 
53901454 236183554 223526267 
61478260 158481500 153413349 
194679926 165073216 24759364 
200974018 57824402 192263863 
31141116 110266218 74888550 
159383930 165548476 0 
31538178 253990552 218980439 
261723938 2577810 197734650 
262127810 101544332 267911167 
83489418 253237572 267911167 
77393252 169733466 180568230 
175393270 59916060 168803684 
164632630 227784670 57400148 
172046780 53763448 159269475 
223266014 79660068 236343945 
214796166 87227640 235489947 
23404186 203295126 160137890 
102863056 93544664 129866474 
29125238 241270158 203864736 
82542312 101353074 117383123 
94977204 184700970 213117040 
44507620 258986816 236910481 
208966674 17667038 160083085 
200729300 84508920 218683284 
48202546 97765712 79392096 
264273334 217529214 133693439 
151051572 96447590 180924131 
118161594 53094268 104724278 
137251996 93348802 164036330 
120278764 237032346 267911167 
111558300 72065870 117070958 
201130212 106993258 241562976 
264270126 150213162 79477999 
61162898 160646398 155277582 
15483048 125397234 74344824 
5164868 113400572 52008385 
25571700 176465496 135477414 
37144506 74218418 44795919 
256252690 84479642 267911167 
214747950 35652518 183816451 
100854546 153055508 187337098 
40864098 146120058 134217728 
175258390 123077564 231798294 
265568838 146839752 77409379 
223739860 236438658 125160390 
173905696 79722162 187064515 
221738388 209887832 96618072 
159869780 118430564 211717892 
100917410 7103362 41497175 
259228486 65467226 258130423 
27106390 191152642 151706185 
71429278 218345460 223248287 
125690366 234587980 267911167 
76044752 29509498 38976224 
4258960 53331836 0 
156484100 218491862 39992050 
32014940 98668506 64105385 
187232806 986872 134217728 
164412098 98299654 196181647 
143991774 123585128 201018572 
267633304 115563288 267911167 
32400354 266603164 232445044 
55501526 2072974 0 
26349438 1785568 0 
69442500 253604892 256504123 
171266192 8607774 134217728 
12264136 11398274 0 
43776484 34703136 11944809 
80092568 44745958 58294324 
172278786 31370414 137082183 
213961292 171698396 50664964 
180698052 11452580 134217728 
25263864 210391126 169098769 
55837280 7713914 0 
144513714 244733668 54247045 
50849768 262140558 246405770 
266854848 117261752 267911167 
52606208 167993410 154089908 
254261794 195078418 114328384 
232096000 82286204 247801842 
136271366 51277802 134217728 
137504844 216625504 19135816 
98652318 249042780 267911167 
201401854 100048630 234904610 
221643190 131325750 267911167 
265393968 239802412 133693439 
160605194 197793946 23424453 
124456964 86456706 133693439 
113469800 137816900 184722439 
240306866 210250550 115541244 
199518070 264925560 129505441 
155920418 135641594 0 
160705214 253448608 79207284 
239066584 160896222 64943275 
167185368 241771906 73964015 
219180426 25985014 178596637 
123211214 243855402 267911167 
155299406 102114842 190877585 
158496350 242443164 65987846 
9060346 38221728 0 
214928040 62942410 211300096 
97794050 253445502 267911167 
41020938 69366450 43841513 
216277822 128832490 267911167 
104268510 70615152 108309204 
99106944 241882366 267911167 
151920592 110171330 195560504 
245705556 6428594 185618069 
254014848 67416482 254901476 
221526190 162533186 49041405 
36536938 101665810 71625342 
80520040 54691854 68702617 
129072242 159654050 222191964 
41010818 165697758 140129048 
103006826 239794044 267911167 
103367818 197482062 234320731 
262589738 177376194 104972676 
109617214 29089684 72142183 
192542852 142289940 0 
83171820 234773676 251380368 
64360380 182976858 180752924 
125525806 57868812 116893128 
255078940 263100122 133693439 
1121490 183597494 134217728 
59161236 227763544 220364176 
121643770 144011978 199077270 
81099578 68280164 82858378 
189283812 53513804 176214140 
67459362 131089678 131976282 
104791686 184695264 222926160 
85723054 108743558 127958544 
115657372 164646566 213731420 
62537996 115564612 111580372 
146652696 186621442 0 
138995406 79898662 152332807 
265876438 71575512 267911167 
207063662 209322392 81377297 
64085108 154106138 151619919 
202601920 98337064 234419410 
244617726 109743088 267911167 
142964638 82708452 159108942 
209814824 165405348 40248523 
17481030 31925730 0 
262611066 192709346 120312857 
97671298 212749568 243875643 
32434390 225821394 191681208 
101565910 195319460 230334197 
151657200 214682424 31385020 
143172290 65255378 141862456 
261385860 242477564 133693439 
38721452 227749998 199909683 
217581500 5839036 156836231 
30307100 46735804 10501942 
82556326 222796462 238775167 
41980364 22750630 0 
202509224 38506090 174490331 
62812844 113826052 110099097 
32727720 27639388 0 
110557482 159153358 203141035 
88274260 146491320 168260496 
172389692 140023856 0 
124074724 58839898 116400099 
218971894 172614810 56635563 
100387316 54197112 88086401 
103487368 102772870 133693439 
224430924 210734080 100158810 
145043698 49391260 134217728 
116764128 54156630 104389752 
85997736 206096690 225511274 
229322284 228309656 122696225 
164721190 168014232 0 
266438282 260305738 133693439 
97897152 255869016 267911167 
229366736 191771696 86148867 
48046232 87323836 68827192 
122959084 261285368 267911167 
263978052 131114218 267911167 
245785614 78665134 257883694 
251594072 127960930 267911167 
255156654 19717332 208323058 
239184474 135387780 39577510 
194774876 91963780 220231248 
50113618 132792612 116399947 
18261234 74246512 25940318 
99884466 177140032 210456747 
191736212 123481860 248670036 
224573642 68898148 226960846 
22915750 77911182 34272650 
229666606 172038944 66689452 
148503104 154871288 0 
45635810 83623282 62685864 
50664578 81725424 65817015 
57682742 3192728 0 
217420994 231737506 114140009 
172254096 165520768 2789642 
257347504 155963872 78311697 
235438298 179033332 79467397 
207410538 130921528 267911167 
192930422 137410952 0 
143436554 267815734 76252129 
78333310 55278610 67114797 
14354274 4053792 0 
144069246 117359030 194852244 
267434218 181183670 113625332 
262510296 35062656 230998115 
126329348 206187506 265941042 
201151708 115390828 249989594 
219123734 52884088 205425131 
73483370 35091832 42005549 
136432934 74948662 144806520 
219657198 39231868 192306156 
66105526 39929048 39457173 
221248530 37634040 192298104 
179728728 80072696 193230801 
249311056 117373926 267911167 
43356348 11693716 0 
262543842 124085636 267911167 
226572164 3724968 163720914 
201686534 201651834 68349532 
53934108 195371608 182733240 
242906574 263448892 133693439 
240951324 82871992 257258680 
248187860 109509418 267911167 
160607128 246458244 72059654 
138165070 206638666 9820304 
76353382 257861296 267646344 
112021802 43057614 88538704 
257057354 80027804 267911167 
160968358 128353332 222746841 
115259980 212933872 261645165 
57941336 57935362 49355406 
230236418 201392872 96618611 
119702228 240019668 267911167 
60190044 27702396 21316206 
165557766 171640350 2214547 
252766930 119374938 267911167 
73196166 231691350 238311496 
254301172 115987516 267911167 
240795854 138545862 44359376 
87032958 177444996 197893894 
238665308 243257936 133693439 
30174802 253996848 217650164 
166949530 265803552 97736027 
64397994 165577776 163399486 
238179220 225055636 128254398 
248499658 240602154 133693439 
235469958 45148116 214040815 
64510676 140152336 138085861 
182563346 161841832 9449435 
223779242 21401182 178604126 
219675136 33392362 186483159 
109783414 199843256 243077479 
69465764 243477572 246438569 
76218876 189496286 199216426 
106160834 31376036 70973185 
28542302 48240544 10200931 
84320448 235508518 253280499 
149521154 149180316 0 
78418486 118463098 130302577 
220246082 38664606 192359812 
119693442 20505736 73631984 
171017532 195101326 31111405 
180869122 138063490 0 
67746972 142643488 143813949 
254115024 147936974 67092163 
166370158 225423228 56780301 
28281676 57526050 19227299 
263479382 239168562 133693439 
85139756 3574776 22158947 
152408042 192487094 9926135 
241637016 30080576 205151714 
227134784 165550918 57713741 
130301362 223761912 267911167 
252810574 263110472 133693439 
191679048 215708564 72427381 
178558180 116203466 228217336 
51392090 131972896 116788933 
239775934 200614298 105432589 
177592010 158530554 1146927 
96430728 190942134 220803721 
253382504 24280332 211125354 
230455978 48684240 212572045 
101856208 178218254 213504258 
48433052 206746954 188662645 
200622096 58336090 192439632 
84209680 17136262 34792991 
127758884 26462694 87681059 
222102828 136374148 23494136 
257134006 212909022 133693439 
117075364 208111182 258612818 
20958904 53202608 7580241 
147809386 203335536 16128240 
258518402 242054046 133693439 
3269792 172634282 134217728 
88916922 11257648 33645944 
35453282 108106926 77040046 
234269012 12520662 180210305 
211831490 186427716 63250324 
37321742 204581382 175338787 
71986724 52565260 58008861 
251686878 82217114 267342804 
92346200 29938082 55707025 
264327334 104405232 267911167 
150338128 43831832 134217728 
111600288 2658504 47706115 
58490948 23103484 15029442 
234975014 195843436 95849333 
39075806 148303028 134217728 
53839220 17797856 5056827 
174702210 130577674 238701840 
2873654 220428288 156794418 
159122714 43679314 136299564 
81958792 258607314 267911167 
105973060 175628946 215020716 
163767470 9238130 134217728 
174060092 236639610 75680807 
150853408 184254684 0 
223751198 264651074 133693439 
261915712 47254830 242624870 
5270440 123162622 61869830 
11590068 43617102 0 
191181742 173037246 29213395 
183724958 168396238 17143828 
126392518 89462214 133693439 
19280898 136686898 134217728 
24912464 156977598 134217728 
214277654 55510904 203213455 
160947902 36140954 134217728 
183972228 75787464 193186927 
202535426 223176526 90750994 
95041820 194265144 222799802 
71791146 213614738 218831515 
113136426 196098552 242662134 
266233208 17409076 217099474 
264642434 92452860 267911167 
37563084 121729248 92768749 
174522080 172267986 11784018 
243760354 163683008 72436746 
74296266 173203428 180964011 
144005472 77338340 154801697 
25607534 236184518 195228689 
73052170 33183584 39702727 
100639302 146592006 180651506 
148428606 189740838 3172419 
227222268 48208896 208854369 
110563582 159036504 203035760 
103278774 187483430 224178831 
240313416 62859550 236605952 
88367136 123028936 133693439 
86677350 120662214 133693439 
188652680 222094752 75745048 
214054830 11492546 158977903 
220547806 136729130 22275524 
179606156 261908280 106544900 
182734430 59200728 175360697 
165011322 27815270 134217728 
251662552 186101520 102748181 
239738672 22230198 195440018 
205603472 146427760 17035046 
40101864 143390802 134217728 
104622694 180727246 218799441 
157722994 121225356 212398017 
5907744 32336310 0 
183993278 231040350 80018773 
10874564 41182762 0 
126226750 78611610 133693439 
67303910 13660470 14390585 
193565532 219313408 77890622 
142457234 68751788 144674581 
197830318 29178802 160485162 
210704874 184425396 60117202 
148124540 228624478 41747318 
173046104 130874694 237355595 
42018210 81307902 56747738 
212906820 163485766 41410385 
51897606 164954250 150268573 
175721300 113597168 222790670 
185385912 89059730 207875065 
20019090 167557418 134217728 
111485984 193231628 238174247 
17757772 227979902 179158636 
133172620 140111462 206700343 
94696758 75267668 103423543 
137869932 37113334 134217728 
194378852 247327878 106703825 
74451630 119044098 126911312 
115802950 171510706 220757200 
107203652 204082620 244765590 
166074382 222846754 53919655 
235524858 73157046 242161403 
131902772 249328628 267911167 
72693090 198508284 204651144 
188231010 49874922 171522853 
19383280 82879846 35685617 
72578016 241861082 247925436 
205688858 208502240 79226926 
101474980 25560630 60480286 
48647344 140517700 134217728 
163156644 150023184 0 
25352876 72938426 31728986 
191741280 78411702 203601108 
153878762 207057302 25925138 
137176748 114600618 185231687 
73055288 26537356 33074315 
126157632 116094806 133693439 
58538532 127216950 119202973 
34888336 161044046 134217728 
46674304 256049740 236144234 
80718926 60325570 74469969 
255399900 125156786 267911167 
206141322 243754698 114892002 
110303214 177167374 220898882 
1337502 218383160 153191064 
194848052 160296140 20148422 
163620580 108725088 205777183 
102606122 196055420 232081129 
99106080 161741210 194270489 
148456388 246300598 59785263 
23244266 143126536 134217728 
142848490 98783408 175129931 
163903630 166588548 0 
158164506 204675308 27872016 
39744800 109459500 82630973 
36700466 170594034 140710040 
144817920 228491036 38327437 
99260266 33766010 66510237 
259877344 181039920 105956029 
63607086 267141126 264247083 
84521478 63768950 81775809 
91098890 47091786 71617521 
182064212 108981160 224486973 
61174198 106718830 101346137 
112864484 88191588 133693439 
161725250 177587308 4331562 
56593420 112063260 102075907 
192231170 30110848 155809289 
124051110 167430416 224963809 
214342636 12418602 160190945 
13390214 191212602 138053333 
89752468 121772448 133693439 
145136148 78570802 157128700 
124643312 266975286 267911167 
75158880 41112604 49764170 
5440238 49399768 0 
69871364 250026020 253334501 
259491126 258786656 133693439 
130399984 118236268 133693439 
80819272 72087206 86361001 
261583066 247894666 133693439 
7719406 117722676 58890967 
117318150 162199754 212971781 
130463416 57997418 121892219 
142234688 184103230 0 
254497998 165580712 85086193 
57572698 112807518 103837050 
148327168 153223120 0 
166801736 204129046 35937732 
132839032 117391642 133693439 
50057976 120500410 103996211 
114482962 161412548 209332780 
25728636 223098568 182262920 
225197782 220439266 110684124 
166219876 42394748 142047779 
62287792 246903752 242610476 
105296728 238495032 267911167 
255190402 202899964 123070708 
152115162 139310960 0 
47671538 266260520 247350350 
266370082 154078042 85456073 
158589738 64453828 156467625 
49920136 204918030 188284427 
185655790 218148194 68788848 
196161428 234044886 95217772 
10086598 62966346 6480727 
55958848 242235982 231621195 
75511358 113121038 122058390 
75307556 23870606 32638257 
235616160 188819868 89446635 
12090346 180890468 134217728 
266046096 123225040 267911167 
28747684 199298262 161499661 
