FSUB FE_TOWARDZERO 19
431994 16524 431994 
357592 25126 357592 
237886 482530 238117 
24632 54154 316265 
232316 445414 232317 
116712 184870 447013 
43614 495386 233242 
289768 36386 299662 
172358 484754 222611 
298280 326794 64591 
331332 156836 418980 
497816 63712 497816 
14128 378968 116824 
413856 200362 462508 
451724 385244 451723 
498004 163394 498004 
53870 459684 197540 
360916 377672 115242 
354462 125112 387280 
456760 351404 456759 
227856 256652 518743 
294608 492950 230805 
112300 94214 112043 
343810 354860 91723 
376150 234230 496374 
170246 151544 169990 
222644 278858 222644 
410248 490180 228035 
233232 174176 233231 
148382 185828 447962 
167504 241932 504075 
238364 328932 238364 
363032 426018 163873 
153314 460100 197958 
244368 237270 242394 
116212 8458 116211 
328478 408092 145947 
231494 417426 231494 
91108 157996 420139 
301856 517642 255497 
520191 404850 520190
288186 58122 320287 
190486 373758 190486 
196650 159868 196641 
342232 289750 342231 
164112 13100 164111 
442312 195708 458360 
229052 306888 229052 
454932 380258 454931 
392820 35298 392820 
339288 273684 339287 
437702 505144 242999 
484994 148044 484994 
387506 441686 179541 
56746 335368 73698 
325744 437162 175017 
117424 9898 117423 
194840 222440 484533 
204696 258047 520190
295058 44026 307215 
216816 45330 216815 
275304 89136 351280 
376628 467520 205375 
328966 74288 337777 
13716 339614 77470 
408914 452350 190202 
418520 324844 418519 
309864 495482 233337 
253422 134662 253421 
75080 88360 349823 
78506 36810 78502 
414358 180188 442387 
277848 382794 120649 
441488 83116 441488 
97876 368396 107344 
134292 329898 134292 
21206 323506 61371 
390610 169052 431201 
422702 19152 422702 
27196 245174 507317 
154112 55118 154111 
500586 486700 500119 
122418 28424 122417 
312522 339250 77022 
483748 322616 483747 
30758 78510 340652 
430604 171470 436205 
16590 411538 149394 
387734 133500 397328 
458362 110582 458362 
210034 339336 210034 
252748 100946 252747 
272686 440326 178181 
253936 467778 253938 
303342 65626 327837 
254212 173638 254211 
301192 104618 366762 
235904 124234 235903 
122970 148790 410868 
400358 247890 510034 
360722 204028 466172 
142898 46448 142897 
390856 348328 390851 
219280 240918 502865 
33542 66174 328298 
250840 497490 251213 
158508 444134 182098 
374296 25750 374296 
15994 371748 109604 
162434 411594 163195 
20180 30830 291987 
41984 13402 41943 
278102 83428 345572 
328804 460006 197861 
129658 194258 456401 
467640 288610 467639 
218346 321306 218346 
198616 128062 198615 
106668 479380 217236 
425422 378676 425419 
498448 270904 498447 
504852 342908 504851 
17940 272206 19431 
245640 285784 245640 
269686 291884 29622 
466378 40768 466378 
51114 290418 51235 
105762 258047 520190
320590 310472 319669 
163176 72876 163175 
284476 102094 364238 
503066 161568 503066 
106676 292186 106676 
483912 101820 483912 
125446 29008 125445 
417474 30120 417474 
395668 140370 404151 
514448 280604 514447 
421356 491368 229223 
520191 297420 520190
190792 359654 190792 
108612 220126 482269 
156326 511968 249824 
452316 297250 452315 
175826 248980 511123 
60782 252770 514913 
295306 434960 172815 
374604 35642 374604 
459628 150654 459629 
276838 65454 327599 
179224 410048 179259 
79750 450070 187926 
404380 396020 402655 
408416 420388 157368 
323272 445530 183385 
375068 498334 236189 
411888 277476 411887 
105806 424918 162774 
467806 184700 467945 
492810 159744 492810 
222932 269828 222932 
499852 116686 499852 
326524 162806 424950 
228114 451056 228122 
11810 456600 194456 
429946 281906 429945 
135866 370804 135914 
96626 127586 389704 
7102 111476 373619 
181588 411434 181611 
247450 171914 247449 
258047 22200 258046 
473688 517806 255658 
309484 101756 363900 
513846 6994 513846 
297934 308896 45862 
411026 330470 411025 
440798 146064 440824 
381022 366754 380327 
298144 503624 241479 
397000 78008 397000 
205658 225642 487631 
57334 404630 142486 
349880 243984 506128 
243690 129846 243689 
186988 445612 189537 
85054 508016 245872 
93682 257736 519879 
170486 395892 170499 
490052 48930 490052 
446486 224536 486688 
39786 322258 60333 
171120 98286 171119 
243034 490662 243492 
15744 414732 152588 
16526 201968 464111 
399058 319972 399057 
196120 395470 196120 
418818 217104 479248 
67938 479252 217108 
391582 192748 454892 
285224 27236 291772 
505494 514490 250900 
127276 398652 137607 
23498 157514 419657 
90130 404708 142565 
308770 205300 467444 
345756 213374 475518 
408272 343998 408271 
288992 148316 410460 
280992 330410 68264 
326146 366566 104415 
330626 138374 400518 
170642 359084 170642 
151464 65964 151463 
18798 238876 501019 
287992 347908 85763 
381442 291436 381441 
227188 162834 227187 
317010 226080 488224 
130300 141386 402602 
196756 177760 196546 
498016 181408 498016 
236986 350450 236986 
366754 507380 245235 
289730 93286 355430 
434566 129356 434569 
410180 82294 410180 
489762 36560 489762 
303190 28830 303721 
409546 43636 409546 
209410 447196 209485 
279522 75802 337946 
413116 341960 413115 
294054 430336 168191 
509504 249356 514598 
510782 496770 510125 
336772 519812 257667 
28846 399908 137764 
299982 306422 41743 
351170 70762 351496 
199306 469280 208834 
13708 478248 216104 
155398 306530 155398 
517574 112386 517574 
71172 354118 92150 
408688 232842 494986 
417280 453934 191775 
192010 46784 192009 
22194 304648 42685 
428892 79448 428892 
165016 442536 180721 
447108 410328 447098 
167928 139912 167853 
474532 442488 474499 
113814 58602 113813 
146808 439394 177279 
325416 488358 226213 
181838 57566 181837 
110036 196460 458603 
340358 58396 340518 
458700 182656 459134 
62378 175540 437683 
12774 76672 338815 
326774 195432 457576 
373836 188150 450294 
93594 475946 213802 
504126 474660 504095 
429048 431258 162424 
178266 139398 178257 
385318 192686 454830 
254856 416460 254856 
84882 87364 343532 
289418 368392 106247 
514646 221284 514678 
467748 101048 467748 
473352 21840 473352 
204570 428534 204582 
440366 129304 440367 
323970 168498 430642 
333628 76396 340741 
410860 137020 411603 
370276 402164 139997 
409948 231776 493920 
363084 248100 510244 
404776 54634 404776 
406658 457140 194994 
144652 376706 144683 
464942 408906 464941 
210148 153266 210147 
54356 25424 54317 
372356 151554 413701 
213900 481632 221587 
99074 65952 99056 
435006 464972 202789 
103580 287338 103580 
78950 33540 78947 
238900 127166 238899 
83710 405316 143172 
80714 290542 80714 
465496 343360 465495 
367898 418762 156617 
490216 270552 490215 
219462 499620 237724 
133046 472318 210174 
80038 433284 171140 
105230 427098 164954 
257410 491538 257474 
332626 335716 67620 
228474 112636 228473 
200216 353208 200216 
368838 511676 249531 
406182 112722 406206 
216374 473408 218347 
150654 409206 153052 
163704 228618 490761 
307076 32326 307622 
224796 145076 224795 
412174 161948 424925 
201866 308812 201866 
221900 71512 221899 
459140 134488 459140 
178402 61070 178401 
72982 219314 481457 
501126 481704 500920 
179280 191378 452616 
516950 174390 516950 
