FSUB FE_TOWARDZERO 22
3307208 1592620 3689787 
3409072 3981902 1884749 
901434 3722498 1625346 
386672 3520456 1423304 
1025766 1362546 3459656 
3426394 133464 3426394 
691748 2789654 724893 
1389306 172350 1389305 
941548 781022 939669 
1896654 3113676 1896654 
1353518 1085044 1353375 
3413924 3612758 1514999 
3964256 1476870 3964273 
3792920 844536 3792920 
1783744 2301498 1783744 
2833830 1238842 3335995 
3261090 2566910 3261089 
2520992 299966 2524427 
2170332 3536078 1438925 
3053116 713828 3053344 
820570 2651944 820693 
2047064 2703308 2047064 
1234440 3491474 1396034 
2826998 1974030 4071182 
105054 3400336 1303184 
2832842 1419492 3516644 
2584350 2469106 2578815 
2351220 3878820 1781667 
3566034 221534 3566034 
782712 320784 782708 
1584156 2195676 1584156 
171098 3333042 1235890 
3936876 1108210 3936876 
1549420 4161535 2064383 
3954920 539592 3954920 
2839458 2438390 2839446 
2144248 4160622 2063469 
1590806 2805196 1590806 
1827626 4089530 1994195 
4156718 817922 4156718 
36902 319318 2416325 
3014802 1255536 3352720 
1413214 1438586 3491384 
1448760 1283640 1447558 
2217132 2351378 250823 
2868148 2877906 694392 
2770206 3006034 908487 
2056252 919230 2056251 
1899372 3726416 1899592 
3043264 2564148 3043261 
3614820 3737314 1636535 
506510 1189358 3286509 
90964 2921756 824604 
1519874 3242300 1519889 
1968780 362444 1968779 
2950192 3923590 1826437 
619870 1287502 3384653 
3667376 4088432 1991272 
427856 3478824 1381672 
698548 2057724 4154875 
2831922 1185422 3282576 
626260 2399694 626299 
755968 3656324 1559172 
661404 1467256 3564407 
3901992 756900 3901992 
892016 2385850 892016 
1036502 597250 1036497 
2659778 1811502 3908654 
1375342 4018198 1921046 
971140 4120490 2023338 
2675896 197376 2675912 
2924146 2620858 2924082 
423964 3602458 1505306 
4030974 1059424 4030974 
414574 1804052 3901203 
597312 909698 3006771 
3182086 1849176 3946328 
1789864 2187074 1789864 
2810710 1879026 3976178 
3235458 3617998 1520832 
2492240 2343656 2490680 
3646906 1828274 3925591 
4036956 3991238 4013909 
3373284 2493104 3373283 
2030120 3863928 2030365 
158252 524292 2621418 
2578824 1810294 3907446 
1373048 3453072 1397252 
2959170 1231742 3328914 
2343546 947512 3044664 
2864252 80378 2864252 
