FMUL FE_TOWARDZERO 19
479270 32204 384530 
93170 95630 62162 
80176 309538 262144 
216992 513428 520191 
322954 297984 0 
458162 20404 351595 
456262 243526 520191 
37782 385278 296140 
194140 271390 338972 
373092 446370 168240 
321742 389024 59523 
163466 110962 147622 
449596 353328 152015 
142200 52256 67620 
235992 330992 440158 
353358 274890 0 
229958 109248 212621 
65858 109352 48458 
513898 37454 424649 
377762 488060 214702 
134002 124458 131842 
136492 302104 311958 
464978 101614 439804 
115084 13748 0 
67166 168056 108293 
8388 516502 397933 
86724 21530 0 
431100 245572 520191 
517642 158894 520191 
386608 213470 473286 
440194 406556 195979 
495862 514040 258047 
109544 101548 84224 
26084 143172 42339 
179912 466190 519154 
208570 446376 520191 
391588 509926 250662 
297324 499414 145535 
235430 445800 520191 
164360 220278 258047 
177532 378204 429230 
403080 486832 238823 
425566 431058 205519 
110708 166392 150196 
121188 428802 423277 
335506 414584 98969 
481602 362738 193456 
409186 47156 329466 
90700 339114 303203 
190748 401038 464889 
42242 417770 333043 
292606 444484 86383 
138284 162640 174091 
450078 96346 419563 
156880 388444 418584 
369264 341596 59844 
225710 336938 435783 
420196 284946 54244 
431308 516272 258047 
244254 461390 520191 
419626 376586 145015 
276346 103820 262144 
212706 404496 490261 
132754 445298 451419 
202476 359310 435132 
280326 410660 40187 
41094 464798 378979 
40210 311656 262144 
459226 35384 367936 
52574 509090 434927 
131092 292626 296750 
496640 37606 407455 
401538 464954 215294 
276230 74430 262144 
231358 519624 520191 
58244 203266 135096 
348218 60574 281861 
63808 200550 137414 
376824 403630 129191 
79660 367654 320610 
27616 56098 0 
76124 356352 305500 
130450 40598 44099 
258047 406120 520191 
36216 371944 281246 
367204 90558 331075 
324744 133740 332019 
192590 385010 450630 
512466 61906 447449 
216210 432908 520191 
246726 147636 258047 
164978 135906 174113 
389350 458298 196588 
506996 214430 520191 
94182 478552 445760 
199146 53350 125583 
474058 392150 215084 
5534 495372 374009 
363812 439122 151960 
281156 488096 118419 
60290 411226 344886 
21380 113724 8504 
226408 268528 368590 
166462 404056 443802 
83044 51792 8388 
171954 492184 520191 
475996 437252 258047 
397190 313622 59574 
175172 22496 70934 
104842 204206 182191 
506406 18286 398117 
13748 283976 262144 
76456 418608 368631 
165852 462014 501102 
20086 40954 0 
67748 133166 74398 
318264 504248 171556 
349044 171680 393886 
459626 404076 212999 
251674 132960 258047 
215918 487928 520191 
322220 8584 262144 
167106 306802 346972 
210158 374770 458578 
136468 158946 168710 
105276 467156 445604 
487974 22956 384286 
183348 383470 440026 
148364 214784 236569 
385478 256380 515151 
49164 79998 0 
48958 231594 153620 
61812 247296 182271 
426842 45876 345913 
493424 180826 520191 
94974 82170 50214 
39744 432098 345174 
89124 211858 174142 
416410 391580 157001 
493104 184368 520191 
116554 469930 459810 
30450 374698 278775 
208590 346562 428235 
390344 108800 372796 
429526 251238 520191 
462752 36754 372531 
457436 292630 99168 
91912 326274 291604 
74918 107900 56249 
379628 316290 45161 
506970 289846 145662 
278534 333000 0 
80166 467558 421099 
250620 48058 172146 
330434 481570 161027 
25508 372758 271295 
